"len" "supp" "dose"
"1" 21.5 "VC" 2
"2" 21.5 "OJ" 0.5
"3" 8.2 "OJ" 0.5
"4" 20 "OJ" 1
"5" 14.5 "OJ" 1
"6" 29.4 "OJ" 2
"7" 15.2 "OJ" 0.5
"8" 18.8 "VC" 1
"9" 15.2 "OJ" 0.5
"10" 25.2 "OJ" 1
"11" 22.4 "OJ" 2
"12" 15.5 "VC" 1
"13" 15.2 "OJ" 0.5
"14" 8.2 "OJ" 0.5
"15" 11.2 "VC" 0.5
"16" 22.5 "VC" 1
"17" 7.3 "VC" 0.5
"18" 27.3 "OJ" 2
"19" 14.5 "VC" 1
"20" 20 "OJ" 1
"21" 22.4 "OJ" 2
"22" 20 "OJ" 1
"23" 24.5 "OJ" 2
"24" 7 "VC" 0.5
"25" 23.3 "VC" 2
"26" 10 "VC" 0.5
"27" 16.5 "VC" 1
"28" 16.5 "VC" 1
"29" 4.2 "VC" 0.5
"30" 16.5 "OJ" 0.5
"31" 13.6 "VC" 1
"32" 23.6 "VC" 2
"33" 24.8 "OJ" 2
"34" 25.5 "OJ" 2
"35" 9.7 "OJ" 0.5
"36" 16.5 "VC" 1
"37" 15.5 "VC" 1
"38" 32.5 "VC" 2
"39" 26.7 "VC" 2
"40" 13.6 "VC" 1
"41" 11.2 "VC" 0.5
"42" 11.2 "VC" 0.5
"43" 11.2 "VC" 0.5
"44" 29.4 "OJ" 2
"45" 7 "VC" 0.5
"46" 9.4 "OJ" 0.5
"47" 11.5 "VC" 0.5
"48" 23 "OJ" 2
"49" 25.5 "OJ" 2
"50" 11.2 "VC" 0.5
"51" 30.9 "OJ" 2
"52" 14.5 "OJ" 0.5
"53" 4.2 "VC" 0.5
"54" 23.6 "VC" 2
"55" 20 "OJ" 1
"56" 9.7 "OJ" 0.5
"57" 13.6 "VC" 1
"58" 21.2 "OJ" 1
"59" 23.6 "OJ" 1
"60" 22.4 "OJ" 2
"61" 7.3 "VC" 0.5
"62" 20 "OJ" 1
"63" 26.7 "VC" 2
"64" 11.5 "VC" 0.5
"65" 17.3 "VC" 1
"66" 15.2 "VC" 1
"67" 21.5 "VC" 2
"68" 16.5 "VC" 1
"69" 25.5 "VC" 2
"70" 5.2 "VC" 0.5
"71" 25.5 "OJ" 2
"72" 32.5 "VC" 2
"73" 32.5 "VC" 2
"74" 14.5 "VC" 1
"75" 16.5 "OJ" 0.5
"76" 7 "VC" 0.5
"77" 25.2 "OJ" 1
"78" 14.5 "VC" 1
"79" 16.5 "VC" 1
"80" 23.3 "VC" 2
"81" 11.2 "VC" 0.5
"82" 26.4 "OJ" 1
"83" 14.5 "OJ" 1
"84" 21.2 "OJ" 1
"85" 14.5 "OJ" 0.5
"86" 11.2 "VC" 0.5
"87" 14.5 "OJ" 0.5
"88" 9.4 "OJ" 0.5
"89" 15.2 "OJ" 0.5
"90" 20 "OJ" 1
"91" 14.5 "OJ" 1
"92" 6.4 "VC" 0.5
"93" 16.5 "VC" 1
"94" 33.9 "VC" 2
"95" 5.8 "VC" 0.5
"96" 29.4 "OJ" 2
"97" 25.5 "OJ" 2
"98" 22.5 "VC" 1
"99" 26.4 "OJ" 1
"100" 23 "OJ" 2
"101" 22.5 "VC" 1
"102" 27.3 "OJ" 1
"103" 30.9 "OJ" 2
"104" 4.2 "VC" 0.5
"105" 14.5 "OJ" 0.5
"106" 27.3 "OJ" 1
"107" 24.8 "OJ" 2
"108" 22.4 "OJ" 2
"109" 23.3 "OJ" 1
"110" 26.4 "OJ" 2
"111" 11.2 "VC" 0.5
"112" 22.5 "VC" 1
"113" 32.5 "VC" 2
"114" 25.2 "OJ" 1
"115" 21.2 "OJ" 1
"116" 7.3 "VC" 0.5
"117" 25.5 "VC" 2
"118" 15.2 "OJ" 0.5
"119" 24.5 "OJ" 2
"120" 27.3 "OJ" 1
"121" 21.5 "VC" 2
"122" 29.5 "VC" 2
"123" 11.2 "VC" 0.5
"124" 22.5 "VC" 1
"125" 9.7 "OJ" 0.5
"126" 23.3 "VC" 2
"127" 26.4 "OJ" 2
"128" 6.4 "VC" 0.5
"129" 15.2 "OJ" 0.5
"130" 7 "VC" 0.5
"131" 22.5 "VC" 1
"132" 23 "OJ" 2
"133" 25.5 "VC" 2
"134" 11.5 "VC" 0.5
"135" 23.6 "VC" 2
"136" 21.5 "OJ" 0.5
"137" 18.8 "VC" 1
"138" 23.6 "VC" 2
"139" 21.2 "OJ" 1
"140" 23.3 "OJ" 1
"141" 22.4 "OJ" 2
"142" 21.5 "VC" 2
"143" 11.2 "VC" 0.5
"144" 18.8 "VC" 1
"145" 26.7 "VC" 2
"146" 25.5 "VC" 2
"147" 24.5 "OJ" 2
"148" 23.3 "VC" 2
"149" 29.4 "OJ" 2
"150" 22.5 "VC" 1
