ref_area.label,,,,time,obs_value
Afghanistan,,,,2021,24.01
Afghanistan,,,,2021,23.08
Afghanistan,,,,2021,26.97
Afghanistan,,,,2020,36.75
Afghanistan,,,,2020,28.33
Afghanistan,,,,2020,73.15
Afghanistan,,,,2017,42.8
Afghanistan,,,,2017,32.51
Afghanistan,,,,2017,80.26
Afghanistan,,,,2014,45.06
Afghanistan,,,,2014,36.49
Afghanistan,,,,2014,72.14
Angola,,,,2022,26.3
Angola,,,,2022,25.1
Angola,,,,2022,27.45
Angola,,,,2021,32.28
Angola,,,,2021,29.67
Angola,,,,2021,34.78
Angola,,,,2019,33.67
Angola,,,,2019,30.59
Angola,,,,2019,36.66
Albania,,,,2023,17.46
Albania,,,,2023,13.63
Albania,,,,2023,21.95
Albania,,,,2022,18.64
Albania,,,,2022,14.2
Albania,,,,2022,23.83
Albania,,,,2021,20.76
Albania,,,,2021,15.88
Albania,,,,2021,26.85
Albania,,,,2020,25.56
Albania,,,,2020,21.86
Albania,,,,2020,30.18
Albania,,,,2019,20.1
Albania,,,,2019,16.27
Albania,,,,2019,24.87
Albania,,,,2018,21.81
Albania,,,,2018,18.05
Albania,,,,2018,26.61
Albania,,,,2017,24.62
Albania,,,,2017,21.15
Albania,,,,2017,29.19
Albania,,,,2016,26.54
Albania,,,,2016,23.45
Albania,,,,2016,30.52
Albania,,,,2015,30.85
Albania,,,,2015,26.22
Albania,,,,2015,37.01
Albania,,,,2014,32.14
Albania,,,,2014,26.49
Albania,,,,2014,39.49
Albania,,,,2013,26.11
Albania,,,,2013,21.34
Albania,,,,2013,31.94
Albania,,,,2012,29.29
Albania,,,,2012,23.63
Albania,,,,2012,36.46
Albania,,,,2011,50.08
Albania,,,,2011,44.3
Albania,,,,2011,57.41
Albania,,,,2010,24.21
Albania,,,,2010,16.89
Albania,,,,2010,34.08
Albania,,,,2009,22.13
Albania,,,,2009,14.72
Albania,,,,2009,32.01
Albania,,,,2008,23.82
Albania,,,,2008,15.37
Albania,,,,2008,34.35
Albania,,,,2007,19.29
Albania,,,,2007,14.86
Albania,,,,2007,26.49
Albania,,,,2002,37.6
Albania,,,,2002,30.1
Albania,,,,2002,47.17
United Arab Emirates,,,,2023,3.24
United Arab Emirates,,,,2023,2.54
United Arab Emirates,,,,2023,5.57
United Arab Emirates,,,,2022,3.94
United Arab Emirates,,,,2022,3.31
United Arab Emirates,,,,2022,5.91
United Arab Emirates,,,,2019,2.57
United Arab Emirates,,,,2019,2.19
United Arab Emirates,,,,2019,3.78
United Arab Emirates,,,,2018,2.2
United Arab Emirates,,,,2018,1.81
United Arab Emirates,,,,2018,3.89
United Arab Emirates,,,,2017,1.06
United Arab Emirates,,,,2017,0.95
United Arab Emirates,,,,2017,1.54
Argentina,,,,2023,40.6
Argentina,,,,2023,28.95
Argentina,,,,2023,55.3
Argentina,,,,2022,41.13
Argentina,,,,2022,29.8
Argentina,,,,2022,55.69
Argentina,,,,2021,43.05
Argentina,,,,2021,32.07
Argentina,,,,2021,57.53
Argentina,,,,2020,50.67
Argentina,,,,2020,40.71
Argentina,,,,2020,63.48
Argentina,,,,2019,42.26
Argentina,,,,2019,30.9
Argentina,,,,2019,57
Argentina,,,,2018,40.47
Argentina,,,,2018,28.7
Argentina,,,,2018,55.76
Argentina,,,,2017,39.89
Argentina,,,,2017,28.72
