Category: All categories

Country,burnout: (4/25/20 - 4/25/25)
Switzerland,100
Liechtenstein,100
Austria,99
Netherlands,97
Brazil,94
Germany,91
Northern Mariana Islands,79
Portugal,77
Luxembourg,73
Caribbean Netherlands,72
Australia,70
Philippines,66
New Zealand,66
Belgium,60
Iceland,60
Palau,58
Cape Verde,57
Curaçao,54
São Tomé & Príncipe,53
Sint Maarten,51
Botswana,50
Canada,49
Costa Rica,49
Brunei,48
Singapore,48
Mexico,46
San Marino,46
Malta,46
Guernsey,45
South Africa,44
Angola,44
Trinidad & Tobago,44
Aruba,43
Guam,43
St. Lucia,42
Antigua & Barbuda,42
Ireland,42
Finland,41
Barbados,41
St. Kitts & Nevis,41
Namibia,41
Peru,41
Suriname,40
United States,40
Chile,40
Grenada,39
Ecuador,38
Maldives,38
Puerto Rico,37
Samoa,37
United Kingdom,36
Madagascar,36
St. Vincent & Grenadines,36
Paraguay,36
Romania,36
American Samoa,36
Mauritius,35
Eswatini,35
Italy,35
Jersey,35
Zimbabwe,34
Cayman Islands,34
St. Helena,34
Nicaragua,34
British Virgin Islands,33
Guyana,33
St. Martin,33
Åland Islands,32
Kenya,32
Colombia,32
Panama,31
Jamaica,31
Uruguay,31
El Salvador,31
Vanuatu,30
U.S. Virgin Islands,30
Dominica,30
Mozambique,30
Bermuda,30
Isle of Man,30
Gambia,30
Honduras,29
Malaysia,29
Fiji,29
Lesotho,29
Argentina,28
Bahamas,27
Seychelles,27
Faroe Islands,27
Belize,27
Turks & Caicos Islands,27
Venezuela,26
Estonia,26
Indonesia,26
Gibraltar,25
Latvia,25
Dominican Republic,25
Spain,25
Rwanda,25
New Caledonia,24
Guatemala,24
Solomon Islands,24
Djibouti,23
Norway,23
Andorra,23
Bolivia,22
Lebanon,22
Mongolia,22
Greenland,22
Malawi,21
Morocco,21
Kosovo,21
Zambia,21
Burundi,21
Slovenia,20
Western Sahara,20
Cuba,20
Denmark,20
Cyprus,19
Lithuania,19
Croatia,19
Sweden,19
Papua New Guinea,18
Bahrain,18
Ghana,18
Moldova,18
North Macedonia,18
Albania,18
Hungary,18
United Arab Emirates,18
Ethiopia,17
France,17
Qatar,17
French Polynesia,17
Bhutan,16
Pakistan,16
Hong Kong,16
Guinea-Bissau,16
Serbia,16
Greece,15
Tunisia,14
Bosnia & Herzegovina,14
Cameroon,14
Gabon,14
Réunion,13
Myanmar (Burma),13
Montenegro,13
China,13
Nepal,13
Czechia,13
Sri Lanka,13
Macao,13
Bulgaria,12
Laos,12
Oman,12
Guadeloupe,12
Georgia,12
French Guiana,12
Togo,12
Timor-Leste,12
St. Barthélemy,12
Slovakia,12
South Korea,12
Benin,11
Thailand,11
Tanzania,11
Martinique,11
Nigeria,11
Uganda,11
Cambodia,11
Liberia,11
Palestine,11
Kuwait,11
Armenia,10
Jordan,10
Algeria,10
Sierra Leone,10
Congo - Brazzaville,10
South Sudan,10
Egypt,9
Somalia,9
Sudan,9
Poland,9
Iraq,9
Russia,8
Israel,8
Senegal,8
India,8
Libya,8
Azerbaijan,8
Ukraine,8
Côte d’Ivoire,8
Saudi Arabia,8
Mauritania,7
Vietnam,7
Burkina Faso,7
Haiti,7
Bangladesh,6
Niger,6
Taiwan,6
Congo - Kinshasa,6
Belarus,6
Afghanistan,5
Kazakhstan,5
Turkmenistan,5
Syria,5
Türkiye,5
Kyrgyzstan,5
Uzbekistan,5
Iran,5
Yemen,5
Mali,4
Guinea,4
Tajikistan,4
Japan,3
Tonga,
South Georgia & South Sandwich Islands,
Heard & McDonald Islands,
Montserrat,
Falkland Islands (Islas Malvinas),
Tokelau,
Christmas Island,
Mayotte,
Norfolk Island,
Marshall Islands,
Bouvet Island,
Equatorial Guinea,
Tuvalu,
Micronesia,
Monaco,
British Indian Ocean Territory,
Central African Republic,
U.S. Outlying Islands,
Comoros,
Cocos (Keeling) Islands,
Niue,
Vatican City,
Anguilla,
Eritrea,
Nauru,
Kiribati,
St. Pierre & Miquelon,
Pitcairn Islands,
Wallis & Futuna,
Antarctica,
French Southern Territories,
Svalbard & Jan Mayen,
North Korea,
Cook Islands,
Chad,
