"y" "iv" "x"
"1" 15.76 "a" 1
"2" 16.13 "a" 1
"3" 13.67 "a" 1
"4" 12.64 "a" 1
"5" 15.82 "a" 1
"6" 8.55 "a" 1
"7" 15.89 "a" 1
"8" 13.17 "a" 1
"9" 13.15 "a" 1
"10" 11.24 "a" 1
"11" 13.65 "a" 1
"12" 19.45 "a" 1
"13" 15.11 "a" 1
"14" 15.56 "a" 1
"15" 11.75 "a" 1
"16" 16.45 "a" 1
"17" 11.34 "a" 1
"18" 13.01 "a" 1
"19" 17.36 "a" 1
"20" 14.9 "a" 1
"21" 17.34 "b" 2
"22" 19.37 "b" 2
"23" 13.07 "b" 2
"24" 10.34 "b" 2
"25" 10.21 "b" 2
"26" 20.42 "b" 2
"27" 13.56 "b" 2
"28" 16.86 "b" 2
"29" 16.84 "b" 2
"30" 14.51 "b" 2
"31" 17.44 "b" 2
"32" 21.59 "b" 2
"33" 21.15 "b" 2
"34" 19.9 "b" 2
"35" 15.76 "b" 2
"36" 16.47 "b" 2
"37" 14.03 "b" 2
"38" 10.01 "b" 2
"39" 20.3 "b" 2
"40" 15.08 "b" 2
"41" 19.69 "c" 3
"42" 9.16 "c" 3
"43" 13.12 "c" 3
"44" 19.11 "c" 3
"45" 18.86 "c" 3
"46" 20.68 "c" 3
"47" 12.06 "c" 3
"48" 18 "c" 3
"49" 18.05 "c" 3
"50" 12.38 "c" 3
"51" 14.68 "c" 3
"52" 22.14 "c" 3
"53" 16.46 "c" 3
"54" 17.35 "c" 3
"55" 14.29 "c" 3
"56" 17.13 "c" 3
"57" 18.37 "c" 3
"58" 18.77 "c" 3
"59" 22.74 "c" 3
"60" 9.26 "c" 3
