"y" "iv" "x" "mo" "z"
"1" 15.76 "a" 1 "alpha" 1
"2" 16.13 "a" 1 "beta" 2
"3" 13.67 "a" 1 "alpha" 1
"4" 12.64 "a" 1 "beta" 2
"5" 15.82 "a" 1 "alpha" 1
"6" 8.55 "a" 1 "beta" 2
"7" 15.89 "a" 1 "alpha" 1
"8" 13.17 "a" 1 "beta" 2
"9" 13.15 "a" 1 "alpha" 1
"10" 11.24 "a" 1 "beta" 2
"11" 13.65 "a" 1 "alpha" 1
"12" 19.45 "a" 1 "beta" 2
"13" 15.11 "a" 1 "alpha" 1
"14" 15.56 "a" 1 "beta" 2
"15" 11.75 "a" 1 "alpha" 1
"16" 16.45 "a" 1 "beta" 2
"17" 11.34 "a" 1 "alpha" 1
"18" 13.01 "a" 1 "beta" 2
"19" 17.36 "a" 1 "alpha" 1
"20" 14.9 "a" 1 "beta" 2
"21" 17.34 "b" 2 "alpha" 1
"22" 19.37 "b" 2 "beta" 2
"23" 13.07 "b" 2 "alpha" 1
"24" 10.34 "b" 2 "beta" 2
"25" 10.21 "b" 2 "alpha" 1
"26" 20.42 "b" 2 "beta" 2
"27" 13.56 "b" 2 "alpha" 1
"28" 16.86 "b" 2 "beta" 2
"29" 16.84 "b" 2 "alpha" 1
"30" 14.51 "b" 2 "beta" 2
"31" 17.44 "b" 2 "alpha" 1
"32" 21.59 "b" 2 "beta" 2
"33" 21.15 "b" 2 "alpha" 1
"34" 19.9 "b" 2 "beta" 2
"35" 15.76 "b" 2 "alpha" 1
"36" 16.47 "b" 2 "beta" 2
"37" 14.03 "b" 2 "alpha" 1
"38" 10.01 "b" 2 "beta" 2
"39" 20.3 "b" 2 "alpha" 1
"40" 15.08 "b" 2 "beta" 2
"41" 19.69 "c" 3 "alpha" 1
"42" 9.16 "c" 3 "beta" 2
"43" 13.12 "c" 3 "alpha" 1
"44" 19.11 "c" 3 "beta" 2
"45" 18.86 "c" 3 "alpha" 1
"46" 20.68 "c" 3 "beta" 2
"47" 12.06 "c" 3 "alpha" 1
"48" 18 "c" 3 "beta" 2
"49" 18.05 "c" 3 "alpha" 1
"50" 12.38 "c" 3 "beta" 2
"51" 14.68 "c" 3 "alpha" 1
"52" 22.14 "c" 3 "beta" 2
"53" 16.46 "c" 3 "alpha" 1
"54" 17.35 "c" 3 "beta" 2
"55" 14.29 "c" 3 "alpha" 1
"56" 17.13 "c" 3 "beta" 2
"57" 18.37 "c" 3 "alpha" 1
"58" 18.77 "c" 3 "beta" 2
"59" 22.74 "c" 3 "alpha" 1
"60" 9.26 "c" 3 "beta" 2
