,t1,t2,t3,t4,s1,s2,s3,s4,s5,tip1,tip2,tip3
1,2,2,2,2,1,1,1,1,1,3,3,3
2,3,3,4,2,3,3,3,4,3,3,3,3
4,3,3,3,1,5,5,5,5,5,5,5,5
5,2,1,1,4,NA,5,4,5,4,2,5,2
6,1,1,1,4,4,1,4,5,4,4,4,2
7,2,2,2,3,3,3,1,4,1,2,2,2
8,3,3,3,4,5,4,2,4,3,4,4,4
10,3,1,1,1,4,3,3,3,3,4,2,2
11,2,2,2,2,5,3,2,5,5,3,4,4
12,2,1,1,1,1,1,1,2,1,4,5,2
14,2,2,2,1,5,4,4,5,4,5,5,2
15,2,2,2,3,2,4,4,4,4,4,4,3
16,1,1,1,1,4,4,3,4,4,4,3,2
18,3,3,2,4,5,4,4,3,4,2,4,1
19,3,3,3,3,3,3,3,3,3,3,3,3
20,1,1,1,1,1,1,1,1,1,2,2,2
21,4,4,2,2,5,4,5,5,5,4,5,2
22,1,1,2,4,5,4,4,5,5,5,4,1
23,3,3,3,4,5,4,2,4,4,5,4,4
24,1,1,1,1,4,4,5,4,4,3,4,3
25,2,2,2,4,4,4,4,4,4,4,2,4
26,3,1,1,1,4,4,4,5,5,4,4,2
27,2,2,2,2,5,4,3,5,4,4,5,3
29,1,1,1,1,5,5,3,5,5,4,4,4
30,2,1,1,3,3,3,1,5,4,5,3,5
31,1,2,2,2,5,4,4,5,4,4,4,2
32,4,1,4,4,2,2,2,2,3,3,3,3
33,5,4,5,5,5,4,2,5,3,2,3,4
34,1,1,1,4,5,2,2,5,5,4,4,3
35,1,1,1,1,2,2,2,5,2,5,5,1
36,2,2,2,1,4,3,4,5,3,3,4,4
37,4,4,4,4,4,4,4,4,4,2,4,4
38,1,1,1,1,4,4,4,5,5,5,4,2
39,1,1,1,1,4,3,2,5,3,5,4,5
40,3,3,3,2,4,3,4,5,2,2,2,2
41,1,1,1,1,5,4,2,5,5,5,5,5
42,4,1,1,2,5,4,3,4,4,4,2,2
43,2,2,2,2,4,2,4,4,4,4,4,4
44,3,3,2,2,3,3,3,3,3,2,3,1
45,4,4,2,2,4,4,3,4,4,4,4,4
46,3,3,2,3,3,2,3,4,2,2,3,2
47,1,1,1,1,5,2,4,5,5,5,4,4
48,2,2,2,2,4,2,4,5,4,3,4,3
49,1,2,1,1,5,4,1,1,4,5,5,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2,2,2,3,2,1,1,3,1,5,5,3
55,2,1,2,1,4,1,2,5,2,2,4,2
56,2,2,2,2,4,2,2,2,2,3,4,3
57,2,2,2,2,5,4,5,5,5,4,4,2
58,1,1,1,1,5,4,5,5,5,5,4,4
60,1,1,1,1,5,5,4,5,5,4,4,3
61,2,2,2,1,4,2,1,4,4,5,2,3
62,1,1,1,1,4,2,4,4,4,4,4,2
63,1,1,1,2,4,2,2,4,4,5,4,4
64,1,1,1,1,5,4,4,5,4,5,4,4
66,2,2,2,3,5,4,4,4,5,4,1,5
68,3,3,3,4,1,3,4,4,1,2,4,3
69,1,1,1,1,5,4,2,4,4,5,3,5
70,1,1,1,2,4,4,2,2,4,4,4,4
71,1,1,1,1,4,3,2,3,2,4,4,3
72,2,NA,2,2,5,4,5,5,5,4,4,3
73,3,1,2,4,4,2,1,5,5,4,2,5
75,4,4,4,4,5,4,2,5,5,4,4,4
77,1,1,1,1,1,1,3,2,1,5,2,4
79,1,1,1,1,5,4,4,4,4,2,5,1
80,4,4,4,3,3,3,3,3,3,3,3,3
81,2,2,2,2,3,2,2,2,4,2,4,3
82,3,3,4,2,4,1,4,4,4,2,4,3
83,2,2,2,2,4,5,3,4,5,2,2,2
84,5,3,3,3,1,1,1,1,1,3,3,3
85,3,3,3,3,5,4,4,3,5,4,4,5
87,2,2,2,2,4,2,4,5,2,5,5,5
88,1,1,1,1,5,4,1,5,5,5,4,4
89,2,2,2,4,5,5,3,5,5,5,4,4
90,2,2,2,3,1,1,1,1,1,1,4,2
91,4,1,3,4,1,1,5,5,1,4,5,3
92,2,2,2,2,4,2,4,4,4,5,4,2
93,2,2,3,3,1,1,2,3,2,2,2,1
94,NA,3,2,2,2,2,1,1,2,2,4,1
95,2,2,2,3,3,3,3,3,3,3,3,3
97,2,4,2,4,2,4,2,4,4,4,4,2
98,2,2,2,2,4,3,2,5,3,4,3,4
99,2,1,1,4,4,4,4,5,4,5,4,4
100,2,2,2,3,4,3,4,5,3,4,4,4
101,3,2,2,3,3,2,2,3,2,3,3,2
102,1,1,1,2,5,4,3,5,5,4,5,4
103,1,1,1,2,4,3,3,4,3,4,4,3
104,2,1,2,2,4,2,3,4,2,1,4,1
105,2,2,2,4,5,2,4,4,4,4,4,2
106,3,3,2,4,5,4,4,4,5,4,5,2
107,4,2,3,4,4,4,4,5,4,4,4,3
108,1,1,2,3,4,2,3,4,2,3,4,2
109,3,3,3,3,4,4,2,4,4,3,2,2
110,2,2,2,2,5,4,4,5,5,3,2,3
111,2,2,2,2,3,4,2,3,4,5,4,4
112,2,3,2,2,3,3,3,3,3,2,4,4
113,2,2,2,4,5,4,4,5,5,5,4,5
114,1,1,1,1,5,3,2,5,4,5,4,4
115,3,1,1,1,1,1,1,1,1,3,5,3
116,2,2,2,2,4,2,3,4,2,4,2,2
118,1,1,1,1,5,4,4,5,4,3,5,4
119,3,3,3,3,4,3,4,3,3,3,3,3
120,1,1,1,4,3,1,1,4,1,5,1,1
121,2,2,2,2,5,4,5,5,4,4,4,3
122,2,3,2,2,4,2,4,5,4,3,4,2
123,3,2,2,2,4,2,4,4,4,5,3,2
124,2,2,4,4,4,2,2,4,4,4,4,4
125,2,2,2,3,5,5,3,5,5,5,4,3
128,1,1,1,3,3,3,3,3,3,4,4,2
129,2,1,2,1,4,3,4,4,3,3,5,3
130,2,3,3,2,4,4,1,5,4,5,5,4
131,3,3,3,3,4,3,3,3,3,3,3,3
132,4,3,3,4,2,1,1,1,1,2,4,4
134,1,1,2,1,5,4,5,5,4,2,4,2
136,4,4,3,4,4,4,2,2,4,2,2,3
137,1,1,1,4,5,4,4,5,4,5,2,4
138,1,1,1,3,5,3,4,5,4,4,4,4
139,1,1,1,3,5,5,3,5,5,5,3,4
140,1,1,4,2,4,2,3,4,2,4,4,4
141,3,3,4,3,4,4,3,4,4,3,2,2
143,3,2,3,NA,4,2,4,5,4,4,4,4
144,2,2,2,2,5,4,3,4,4,4,4,4
145,3,2,2,2,4,2,4,4,4,4,3,3
146,1,1,1,1,5,3,5,5,5,3,4,2
147,2,2,4,4,5,4,5,5,5,5,2,4
148,1,1,1,1,5,5,5,5,5,5,5,5
149,2,4,4,4,4,4,3,2,2,5,2,1
151,NA,1,1,4,5,4,4,NA,5,3,4,4
152,1,1,1,1,5,4,4,5,2,5,5,2
153,3,3,3,3,3,3,3,3,3,2,4,3
154,2,2,1,4,5,4,4,4,4,4,4,3
156,1,1,1,2,4,4,4,3,4,4,4,4
157,1,1,1,1,1,1,1,1,1,4,2,5
