"y1" "y2" "x1" "x2" "x3" "X1" "X2"
"1" 1.22 1.39 0.22 0.2 0.03 1.12 -0.33
"2" 0.1 -0.58 0.23 -0.19 -0.15 0.54 0.58
"3" -1.89 -0.7 -0.05 0.03 -0.18 0.4 -0.1
"4" 2.49 2.62 -0.23 0.1 0.19 1.1 0.03
"5" -0.37 -0.54 0 -0.13 -0.04 0 0.5
"6" -0.54 -0.56 -0.15 0.06 -0.21 0.52 0.7
"7" 1.11 0.29 0.22 -0.1 0.03 0.62 2.35
"8" 1.3 0.11 0.08 0 -0.04 1.56 0.23
"9" -0.15 1.15 -0.1 0.04 -0.05 0.33 -0.28
"10" 1.34 0.72 0.1 -0.06 0 -0.85 -0.94
"11" 0.06 0.84 -0.13 -0.01 0.17 1.17 -0.5
"12" 0.95 1.19 -0.09 -0.05 0.17 -0.15 -0.49
"13" 0.94 0.78 0.14 0.16 -0.01 1.62 0.79
"14" 0.01 -0.13 0.13 0.04 -0.02 -0.03 -2.57
"15" -1.64 -0.63 -0.45 -0.03 -0.01 -0.17 -0.5
"16" -0.19 0.34 0.02 -0.05 -0.04 0.66 0.02
"17" 1.31 0.04 0.04 0.01 -0.06 -0.79 0.55
"18" 0.89 1.07 0.03 0.08 -0.25 -0.13 -0.85
"19" 0.26 1.37 0.1 -0.02 -0.05 -0.58 0.08
"20" -2.47 -2.76 0.08 -0.04 -0.21 0.42 0.59
"21" 0.47 -0.58 0.21 -0.08 -0.08 1.45 -0.01
"22" 0.62 0.48 -0.13 0.11 -0.01 0.31 0.75
"23" -0.12 0.9 0.16 -0.04 -0.06 1.9 1.77
"24" -0.39 -0.58 -0.13 0.02 -0.09 0.85 1.04
"25" 0.94 0.63 -0.21 0.04 -0.02 -0.16 0.62
"26" 2.23 1.14 -0.12 0.12 0.06 -0.6 -0.46
"27" -0.99 -0.37 -0.01 -0.15 0.04 1.42 3.29
"28" 0.67 1.43 0.11 -0.05 0.06 0.48 0.61
"29" 0.56 -0.37 0.2 0.04 0.01 0.19 -1.29
"30" 0.56 1.35 0.02 0.03 -0.14 -0.29 0.59
"31" -0.14 -1.94 0.03 -0.15 -0.01 0.46 -0.99
"32" 1 0.19 0 0.05 -0.15 0.91 -1.36
"33" -0.32 1.53 0.1 0.26 0.11 -0.27 -1.23
"34" 0.67 0.46 -0.08 0.13 0.02 0.53 -0.35
"35" 0.63 2.59 -0.11 0.02 -0.11 0.62 -0.1
"36" 0.2 2.03 -0.18 0.13 0.01 -1.82 0.08
"37" 1.95 2.69 -0.32 -0.08 0.1 -3.57 -1.64
"38" 1.2 1.65 0 0.01 0 -0.64 0.22
"39" 0.24 0.38 0.1 -0.02 -0.13 0.78 -0.73
"40" 1.11 0.09 0.05 0.01 0.1 0.47 0.49
"41" -1.1 -1.92 0.24 -0.03 -0.01 -0.24 0.34
"42" 0.55 1.6 -0.01 0.07 -0.1 0.41 0.25
"43" 0.81 1.02 0.09 -0.04 -0.12 -0.99 -0.78
"44" -0.04 0.55 -0.07 -0.02 0.05 1.13 0.01
"45" 0.83 1.27 0.07 -0.15 0.13 1.34 -0.18
