"x1" "x2" "x3" "x4" "x5" "x6" "y1" "y2" "y3"
"1" 59.97 35.91 30.66 37.17 40.14 64.64 81.23 78.44 61.71
"2" 52.39 28.28 20.12 29.58 52.25 54.83 74.76 80.86 55.39
"3" 37.88 30.18 18.74 32.58 45.9 50.44 61.53 72.51 65.46
"4" 67.11 38.99 33.08 38.63 38.38 72.29 76.43 86.92 85.26
"5" 47.59 27.86 17.41 33 50.08 52.26 65.66 81.14 68.9
"6" 47.43 29.34 18.44 31.47 41.78 53.5 65.86 74.27 76.22
"7" 57.2 29.23 18.34 32.4 45.07 46.18 80.13 86.25 79.78
"8" 63.19 32.31 28.13 33.18 43.35 54.95 71.48 79.74 66.93
"9" 47.67 32.86 27.08 35.27 45.76 65.26 70.73 79.09 71.44
"10" 57.71 29.54 22.36 37.84 60.85 69.76 70.32 81.6 70.01
"11" 52.42 35.86 28.37 36.85 40.34 58.12 65.01 83.11 66.07
"12" 55.2 32.74 24.8 37.07 43.55 73.21 74.99 86.88 61.52
"13" 59.2 35.56 26.81 35.06 37.17 52.01 76.82 78.23 73.31
"14" 52.88 32.23 25.89 38.53 56.53 66.78 61.71 74.15 49.26
"15" 38.53 29.05 17.96 33.06 34.76 65.86 60.1 79.11 58.89
"16" 49.25 30.86 25.6 33.72 47.01 57.08 69.45 79.95 65.36
"17" 57.62 28.08 14.84 35.51 51.7 62.54 73.16 80.63 79.1
"18" 55.6 33.81 24.25 34.62 56.35 73.17 74.04 74.53 72.15
"19" 47.88 30.91 22.92 36.86 58.22 62.19 72.89 80.64 80.67
"20" 36.5 24.65 10.24 28.97 39.44 40.64 61.78 71.82 48.47
"21" 58.31 32.22 24.18 31.19 44.89 54.06 72.53 79.06 50.82
"22" 54.12 32.03 19.93 34.75 36.42 61.91 74.16 80.21 76.05
"23" 50.28 34.59 26.97 31.23 42.48 43.23 76.29 81.61 76.75
"24" 49.07 29.9 18.73 31.22 35.53 52.38 69.26 78.39 69.26
"25" 55.07 30.39 19.99 33.85 38.49 70.31 76.2 82.64 73.87
"26" 64.07 31.45 22.7 37.96 42.46 80.19 78.33 82.86 71.04
"27" 42.84 27.3 18.75 28.49 30.53 35.9 75.49 86.59 75.17
"28" 53.24 33.98 25.14 35.94 50.3 57.03 75.09 84.24 77.61
"29" 56.76 30.54 23.24 36.78 49.48 62.61 69.22 76.99 50.6
